pm25	pm10
5.4	7.7
5.3	7.8
5.3	7.9
5.3	8.1
5.3	8.3
5.3	8.2
5.3	8.2
5.3	8.1
5.3	8.1
5.3	8
5.3	8
5.3	7.9
5.3	7.8
5.3	7.8
5.3	8
5.3	8.2
5.4	8.4
5.4	8.7
5.3	8.9
5.3	9.2
5.3	9.2
5.3	9.2
5.2	9.1
5.3	9.2
5.3	9.3
5.3	9.3
5.3	9.2
5.3	9.2
5.3	9.1
5.3	9.1
5.3	9
5.3	9
5.4	9.1
5.4	9.2
5.5	9.3
5.5	9.1
5.5	9
5.4	8.9
5.5	8.9
5.5	8.9
5.6	9
5.6	9
5.6	9
5.6	9.1
5.6	9.1
5.6	9.2
5.6	9.3
5.6	9.2
5.5	9.2
5.5	9.1
5.5	9.2
5.5	9.2
5.5	9.3
5.5	9.1
5.5	9
5.4	8.9
5.4	8.9
5.4	8.9
5.4	8.9
5.4	8.8
5.5	8.8
5.5	8.7
5.5	8.6
5.6	8.4
5.6	8.3
5.6	8.2
5.6	8.2
5.7	8.1
5.7	8.1
5.7	8.2
5.7	8.2
5.7	8.1
5.7	8
5.6	7.9
5.6	7.7
5.6	7.5
5.6	7.3
5.6	7
5.6	6.7
5.6	6.4
5.7	6.5
5.7	6.7
5.8	6.8
5.8	6.8
5.8	6.8
5.8	6.8
5.8	6.9
5.8	7
5.8	7.1
5.8	7.1
5.8	7.1
5.7	7.1
5.8	7.2
5.8	7.3
5.8	7.3
5.8	7.4
5.8	7.5
5.8	7.6
5.8	7.8
5.7	8.1
5.7	8.3
5.7	8.2
5.7	8.2
5.7	8.2
5.7	8.2
5.7	8.3
5.7	8.3
5.7	8.3
5.8	8.3
5.8	8.2
5.8	8.2
5.8	8.2
5.7	8.2
5.7	8.2
5.7	8.2
5.7	8.2
5.8	8.4
5.8	8.5
5.9	8.7
5.9	8.7
5.8	8.7
5.8	8.7
5.8	8.7
5.8	8.6
5.7	8.6
5.7	8.7
5.7	8.7
5.7	8.8
5.7	8.8
5.7	8.9
5.7	8.9
5.8	9
5.8	9.1
5.9	9.2
5.9	9.2
5.9	9.2
5.9	9.2
5.9	9.3
6	9.3
6	9.4
5.9	9.2
5.9	9.1
5.8	9
5.8	9
5.8	9.1
5.8	9.1
5.9	9
5.9	8.8
6	8.7
6	8.7
6	8.7
6	8.6
6	8.5
5.9	8.4
5.9	8.3
5.9	8.4
5.9	8.5
6	8.6
6	8.3
6	8
6.1	7.7
6.1	7.7
6.1	7.8
6.1	7.8
6.1	7.7
6.1	7.6
6.1	7.5
6.1	7.6
6.1	7.6
6.1	7.7
6.2	7.8
6.2	7.8
6.2	7.8
6.2	7.9
6.2	7.9
6.2	8
6.2	7.9
6.2	7.8
6.1	7.7
6.2	7.7
6.2	7.7
6.2	7.7
6.2	7.7
6.2	7.7
6.2	7.7
6.2	7.6
6.2	7.6
6.3	7.5
6.3	7.5
6.2	7.4
6.2	7.4
