pm25	pm10
5.6	10.3
5.5	10.1
5.5	10
5.6	10
5.6	10
5.7	10.1
5.7	10
5.7	10
5.8	10
5.8	10.4
5.9	10.9
5.9	11.3
5.9	11.3
6	11.3
6	11.4
6	11.4
6	11.5
6	11.5
6	11.9
6	12.3
6.1	12.6
6.1	12.7
6.1	12.7
6.1	12.8
6.1	12.8
6.1	12.9
6.1	12.9
6.1	12.2
6.2	11.5
6.2	10.9
6.2	10.7
6.1	10.5
6.1	10.4
6.1	10.5
6.1	10.6
6.1	10.8
6.1	10.7
6.1	10.6
6.1	10.6
6.1	10.6
6.1	10.5
6.1	10.5
6.1	10.4
6	10.3
6	10.3
6	10.2
5.9	10.1
5.9	10.1
5.9	10.8
5.9	11.4
5.9	12.1
5.9	12.1
5.9	12.1
5.9	12
5.9	12.6
6	13.1
6.1	13.7
6.1	13.6
6	13.4
6	13.3
6.1	13.4
6.1	13.5
6.2	13.6
6.3	13.8
6.4	13.9
6.4	14
6.4	14.4
6.4	14.8
6.4	15.2
6.3	14.9
6.3	14.6
6.2	14.3
6.2	14.2
6.2	14.2
6.1	14.1
6.2	14.2
6.3	14.2
6.3	14.3
6.4	14
6.4	13.7
6.4	13.3
6.4	13.4
6.4	13.5
6.4	13.6
6.4	13.6
6.4	13.5
6.4	13.5
6.3	13.6
6.3	13.7
6.3	13.8
6.3	13.8
6.4	13.8
6.5	13.9
6.5	13.8
6.6	13.7
6.7	13.7
6.7	13.6
6.7	13.6
6.7	13.6
6.8	13.6
6.8	13.7
6.9	13.8
6.9	14.2
7	14.6
7	15
7	15
6.9	14.9
6.9	14.9
6.9	14.2
6.8	13.5
6.8	12.8
6.8	12.9
6.7	13
6.7	13.1
6.7	12.6
6.7	12.1
6.6	11.6
6.6	11.5
6.5	11.4
6.4	11.3
6.4	11.3
6.3	11.2
6.3	11.1
6.2	10.9
6.1	10.8
6	10.6
6	10.2
6	9.7
5.9	9.3
5.9	9.1
5.9	8.9
5.8	8.7
5.8	8.7
5.8	8.8
5.8	8.8
5.7	9.1
5.7	9.5
5.6	9.8
5.6	10.1
5.5	10.5
5.5	10.8
5.5	10.7
5.5	10.7
5.5	10.6
5.6	10.7
5.6	10.7
5.6	10.8
5.6	10.9
5.6	10.9
5.7	11
5.6	11.3
5.6	11.6
5.6	12
5.5	12
5.5	12.1
5.4	12.1
5.4	12.1
5.4	12.1
5.4	12.1
5.4	12.4
5.3	12.7
5.3	13
5.2	12.6
5.2	12.3
5.2	12
5.2	12
5.2	12
5.2	12
5.3	12
5.3	12
5.3	12
5.3	11.9
5.3	11.9
5.3	11.8
5.3	11.9
5.4	11.9
5.4	12
5.5	12.1
5.5	12.2
5.6	12.3
5.6	12.4
5.6	12.4
5.7	12.4
5.7	12.5
5.8	12.7
5.9	12.8
5.9	12.9
6	12.9
6	13
6.1	13
6.1	13.1
6.2	13.1
6.2	13.5
6.3	13.8
6.3	14.1
6.3	13.7
6.3	13.2
6.4	12.8
6.3	12.3
6.3	11.8
6.2	11.4
6.2	11.3
6.2	11.3
6.2	11.2
6.1	11.1
6.1	10.9
6.1	10.8
6	10.6
6	10.5
6	10.4
5.9	10
5.9	9.5
5.9	9.1
5.9	9.1
5.9	9.2
5.9	9.2
5.9	9.4
5.9	9.6
5.9	9.9
6	9.7
6	9.5
6	9.4
6	9.3
6	9.3
6	9.2
6	9.2
6	9.2
6	9.2
6	9.4
6	9.5
5.9	9.7
5.9	9.7
5.9	9.7
5.9	9.7
5.8	9.5
5.7	9.3
5.6	9.2
5.6	9.2
5.6	9.2
5.7	9.2
5.6	9.2
5.6	9.2
5.6	9.2
5.6	9
5.5	8.9
5.4	8.7
5.4	8.7
5.3	8.6
5.3	8.5
5.3	8.5
5.2	8.5
5.2	8.5
5.2	8.4
5.2	8.2
5.3	8.1
5.3	8.1
5.3	8.2
5.3	8.2
5.4	8.3
5.4	8.3
5.4	8.4
5.4	8.5
5.4	8.7
5.5	8.8
5.4	8.8
5.4	8.8
5.4	8.8
5.4	8.8
5.4	8.8
5.4	8.8
5.4	8.7
5.4	8.7
5.4	8.7
5.4	8.5
5.4	8.4
5.4	8.3
5.4	8
5.4	7.8
5.3	7.6
5.3	7.8
5.2	8.1
5.2	8.3
5.2	8.4
5.3	8.4
5.3	8.4
5.3	8.6
5.3	8.8
5.4	8.9
5.4	8.8
5.3	8.7
5.3	8.6
5.4	8.6
5.4	8.7
5.4	8.8
5.5	8.9
5.5	9
5.5	9
5.5	9.4
5.5	9.7
5.4	10.1
5.4	10.1
5.4	10.2
5.4	10.3
5.4	10.6
5.4	10.9
5.4	11.2
